=== MLP Training ===
=== Training MLP ===
[01/500] TrainLoss: 0.010325  ValLoss: 0.006837  Val RMSE: 0.0827  Val NMSE: 0.2380  Val NMSE_dB: -6.234850 dB  TrainTime: 5.20s
[02/500] TrainLoss: 0.007134  ValLoss: 0.006493  Val RMSE: 0.0806  Val NMSE: 0.2272  Val NMSE_dB: -6.435480 dB  TrainTime: 5.08s
[03/500] TrainLoss: 0.006727  ValLoss: 0.006298  Val RMSE: 0.0794  Val NMSE: 0.2213  Val NMSE_dB: -6.551085 dB  TrainTime: 5.27s
[04/500] TrainLoss: 0.006544  ValLoss: 0.006252  Val RMSE: 0.0791  Val NMSE: 0.2201  Val NMSE_dB: -6.573792 dB  TrainTime: 8.45s
[05/500] TrainLoss: 0.006405  ValLoss: 0.006180  Val RMSE: 0.0786  Val NMSE: 0.2178  Val NMSE_dB: -6.619340 dB  TrainTime: 4.46s
[06/500] TrainLoss: 0.006332  ValLoss: 0.006093  Val RMSE: 0.0781  Val NMSE: 0.2147  Val NMSE_dB: -6.681349 dB  TrainTime: 4.70s
[07/500] TrainLoss: 0.006275  ValLoss: 0.006138  Val RMSE: 0.0783  Val NMSE: 0.2161  Val NMSE_dB: -6.654241 dB  TrainTime: 4.67s
[08/500] TrainLoss: 0.006203  ValLoss: 0.006027  Val RMSE: 0.0776  Val NMSE: 0.2122  Val NMSE_dB: -6.731905 dB  TrainTime: 4.88s
[09/500] TrainLoss: 0.006162  ValLoss: 0.006020  Val RMSE: 0.0776  Val NMSE: 0.2119  Val NMSE_dB: -6.738804 dB  TrainTime: 4.61s
[10/500] TrainLoss: 0.006127  ValLoss: 0.006035  Val RMSE: 0.0777  Val NMSE: 0.2128  Val NMSE_dB: -6.719790 dB  TrainTime: 4.85s
[11/500] TrainLoss: 0.006084  ValLoss: 0.006020  Val RMSE: 0.0776  Val NMSE: 0.2123  Val NMSE_dB: -6.730396 dB  TrainTime: 7.52s
[12/500] TrainLoss: 0.006046  ValLoss: 0.005967  Val RMSE: 0.0772  Val NMSE: 0.2101  Val NMSE_dB: -6.775749 dB  TrainTime: 4.43s
[13/500] TrainLoss: 0.006031  ValLoss: 0.005968  Val RMSE: 0.0772  Val NMSE: 0.2105  Val NMSE_dB: -6.767583 dB  TrainTime: 4.71s
[14/500] TrainLoss: 0.006002  ValLoss: 0.005954  Val RMSE: 0.0772  Val NMSE: 0.2095  Val NMSE_dB: -6.787770 dB  TrainTime: 4.56s
[15/500] TrainLoss: 0.005977  ValLoss: 0.005928  Val RMSE: 0.0770  Val NMSE: 0.2090  Val NMSE_dB: -6.799081 dB  TrainTime: 4.83s
[16/500] TrainLoss: 0.005950  ValLoss: 0.005909  Val RMSE: 0.0769  Val NMSE: 0.2085  Val NMSE_dB: -6.809875 dB  TrainTime: 4.91s
[17/500] TrainLoss: 0.005934  ValLoss: 0.005867  Val RMSE: 0.0766  Val NMSE: 0.2066  Val NMSE_dB: -6.849151 dB  TrainTime: 5.28s
[18/500] TrainLoss: 0.005904  ValLoss: 0.005916  Val RMSE: 0.0769  Val NMSE: 0.2087  Val NMSE_dB: -6.804913 dB  TrainTime: 7.46s
[19/500] TrainLoss: 0.005894  ValLoss: 0.005853  Val RMSE: 0.0765  Val NMSE: 0.2062  Val NMSE_dB: -6.856625 dB  TrainTime: 4.84s
[20/500] TrainLoss: 0.005886  ValLoss: 0.005890  Val RMSE: 0.0767  Val NMSE: 0.2074  Val NMSE_dB: -6.831320 dB  TrainTime: 5.01s
[21/500] TrainLoss: 0.005867  ValLoss: 0.005807  Val RMSE: 0.0762  Val NMSE: 0.2048  Val NMSE_dB: -6.887482 dB  TrainTime: 5.09s
[22/500] TrainLoss: 0.005850  ValLoss: 0.005798  Val RMSE: 0.0761  Val NMSE: 0.2040  Val NMSE_dB: -6.903988 dB  TrainTime: 5.09s
[23/500] TrainLoss: 0.005857  ValLoss: 0.005830  Val RMSE: 0.0764  Val NMSE: 0.2053  Val NMSE_dB: -6.876582 dB  TrainTime: 4.96s
[24/500] TrainLoss: 0.005840  ValLoss: 0.005836  Val RMSE: 0.0764  Val NMSE: 0.2055  Val NMSE_dB: -6.871526 dB  TrainTime: 6.88s
[25/500] TrainLoss: 0.005827  ValLoss: 0.005823  Val RMSE: 0.0763  Val NMSE: 0.2048  Val NMSE_dB: -6.887496 dB  TrainTime: 4.73s
[26/500] TrainLoss: 0.005801  ValLoss: 0.005769  Val RMSE: 0.0760  Val NMSE: 0.2029  Val NMSE_dB: -6.926678 dB  TrainTime: 4.88s
[27/500] TrainLoss: 0.005795  ValLoss: 0.005788  Val RMSE: 0.0761  Val NMSE: 0.2041  Val NMSE_dB: -6.901415 dB  TrainTime: 4.68s
[28/500] TrainLoss: 0.005793  ValLoss: 0.005773  Val RMSE: 0.0760  Val NMSE: 0.2032  Val NMSE_dB: -6.921239 dB  TrainTime: 4.44s
