=== Training CNN ===
[01/1000] TrainLoss: 0.045252  ValLoss: 0.032289  Val RMSE: 0.1797  Val NMSE: 0.6499  Val NMSE_dB: -1.871315 dB  TrainTime: 1.42s
[02/1000] TrainLoss: 0.021701  ValLoss: 0.014656  Val RMSE: 0.1211  Val NMSE: 0.2950  Val NMSE_dB: -5.301607 dB  TrainTime: 1.24s
[03/1000] TrainLoss: 0.007877  ValLoss: 0.003798  Val RMSE: 0.0616  Val NMSE: 0.0765  Val NMSE_dB: -11.166179 dB  TrainTime: 0.21s
[04/1000] TrainLoss: 0.001388  ValLoss: 0.000708  Val RMSE: 0.0266  Val NMSE: 0.0143  Val NMSE_dB: -18.459227 dB  TrainTime: 1.03s
[05/1000] TrainLoss: 0.000406  ValLoss: 0.000398  Val RMSE: 0.0200  Val NMSE: 0.0080  Val NMSE_dB: -20.960416 dB  TrainTime: 1.06s
[06/1000] TrainLoss: 0.000253  ValLoss: 0.000360  Val RMSE: 0.0190  Val NMSE: 0.0072  Val NMSE_dB: -21.396981 dB  TrainTime: 1.27s
[07/1000] TrainLoss: 0.000199  ValLoss: 0.000361  Val RMSE: 0.0190  Val NMSE: 0.0073  Val NMSE_dB: -21.390285 dB  TrainTime: 1.10s
[08/1000] TrainLoss: 0.000183  ValLoss: 0.000197  Val RMSE: 0.0140  Val NMSE: 0.0040  Val NMSE_dB: -24.021231 dB  TrainTime: 1.15s
[09/1000] TrainLoss: 0.000138  ValLoss: 0.000155  Val RMSE: 0.0124  Val NMSE: 0.0031  Val NMSE_dB: -25.068107 dB  TrainTime: 1.19s
[10/1000] TrainLoss: 0.000130  ValLoss: 0.000140  Val RMSE: 0.0118  Val NMSE: 0.0028  Val NMSE_dB: -25.503243 dB  TrainTime: 1.18s
[11/1000] TrainLoss: 0.000106  ValLoss: 0.000109  Val RMSE: 0.0104  Val NMSE: 0.0022  Val NMSE_dB: -26.585670 dB  TrainTime: 1.05s
[12/1000] TrainLoss: 0.000106  ValLoss: 0.000174  Val RMSE: 0.0132  Val NMSE: 0.0035  Val NMSE_dB: -24.557390 dB  TrainTime: 1.07s
[13/1000] TrainLoss: 0.000110  ValLoss: 0.000093  Val RMSE: 0.0096  Val NMSE: 0.0019  Val NMSE_dB: -27.280795 dB  TrainTime: 1.30s
[14/1000] TrainLoss: 0.000099  ValLoss: 0.000093  Val RMSE: 0.0096  Val NMSE: 0.0019  Val NMSE_dB: -27.272390 dB  TrainTime: 1.40s
[15/1000] TrainLoss: 0.000088  ValLoss: 0.000091  Val RMSE: 0.0095  Val NMSE: 0.0018  Val NMSE_dB: -27.365175 dB  TrainTime: 1.06s
[16/1000] TrainLoss: 0.000095  ValLoss: 0.000138  Val RMSE: 0.0117  Val NMSE: 0.0028  Val NMSE_dB: -25.575859 dB  TrainTime: 1.04s
[17/1000] TrainLoss: 0.000083  ValLoss: 0.000130  Val RMSE: 0.0114  Val NMSE: 0.0026  Val NMSE_dB: -25.832789 dB  TrainTime: 1.27s
[18/1000] TrainLoss: 0.000095  ValLoss: 0.000084  Val RMSE: 0.0092  Val NMSE: 0.0017  Val NMSE_dB: -27.715649 dB  TrainTime: 1.12s
[19/1000] TrainLoss: 0.000083  ValLoss: 0.000131  Val RMSE: 0.0115  Val NMSE: 0.0026  Val NMSE_dB: -25.777388 dB  TrainTime: 1.10s
[20/1000] TrainLoss: 0.000059  ValLoss: 0.000100  Val RMSE: 0.0100  Val NMSE: 0.0020  Val NMSE_dB: -26.966771 dB  TrainTime: 1.17s
[21/1000] TrainLoss: 0.000085  ValLoss: 0.000122  Val RMSE: 0.0111  Val NMSE: 0.0025  Val NMSE_dB: -26.084502 dB  TrainTime: 1.34s
[22/1000] TrainLoss: 0.000061  ValLoss: 0.000041  Val RMSE: 0.0064  Val NMSE: 0.0008  Val NMSE_dB: -30.809676 dB  TrainTime: 1.08s
[23/1000] TrainLoss: 0.000068  ValLoss: 0.000062  Val RMSE: 0.0079  Val NMSE: 0.0013  Val NMSE_dB: -29.008279 dB  TrainTime: 1.06s
[24/1000] TrainLoss: 0.000068  ValLoss: 0.000078  Val RMSE: 0.0088  Val NMSE: 0.0016  Val NMSE_dB: -28.026288 dB  TrainTime: 1.09s
[25/1000] TrainLoss: 0.000067  ValLoss: 0.000128  Val RMSE: 0.0113  Val NMSE: 0.0026  Val NMSE_dB: -25.877275 dB  TrainTime: 1.29s
[26/1000] TrainLoss: 0.000072  ValLoss: 0.000032  Val RMSE: 0.0057  Val NMSE: 0.0007  Val NMSE_dB: -31.870176 dB  TrainTime: 1.18s
[27/1000] TrainLoss: 0.000064  ValLoss: 0.000067  Val RMSE: 0.0082  Val NMSE: 0.0014  Val NMSE_dB: -28.685315 dB  TrainTime: 1.20s
[28/1000] TrainLoss: 0.000068  ValLoss: 0.000117  Val RMSE: 0.0108  Val NMSE: 0.0024  Val NMSE_dB: -26.267460 dB  TrainTime: 1.22s
[29/1000] TrainLoss: 0.000056  ValLoss: 0.000095  Val RMSE: 0.0098  Val NMSE: 0.0019  Val NMSE_dB: -27.161950 dB  TrainTime: 1.15s
[30/1000] TrainLoss: 0.000061  ValLoss: 0.000029  Val RMSE: 0.0054  Val NMSE: 0.0006  Val NMSE_dB: -32.379368 dB  TrainTime: 1.13s
[31/1000] TrainLoss: 0.000056  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.816914 dB  TrainTime: 0.43s
[32/1000] TrainLoss: 0.000062  ValLoss: 0.000035  Val RMSE: 0.0059  Val NMSE: 0.0007  Val NMSE_dB: -31.507385 dB  TrainTime: 1.14s
[33/1000] TrainLoss: 0.000067  ValLoss: 0.000111  Val RMSE: 0.0105  Val NMSE: 0.0022  Val NMSE_dB: -26.522074 dB  TrainTime: 1.13s
[34/1000] TrainLoss: 0.000040  ValLoss: 0.000046  Val RMSE: 0.0068  Val NMSE: 0.0009  Val NMSE_dB: -30.298377 dB  TrainTime: 1.12s
[35/1000] TrainLoss: 0.000055  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.794490 dB  TrainTime: 1.13s
[36/1000] TrainLoss: 0.000065  ValLoss: 0.000091  Val RMSE: 0.0095  Val NMSE: 0.0018  Val NMSE_dB: -27.385389 dB  TrainTime: 1.12s
[37/1000] TrainLoss: 0.000034  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.831534 dB  TrainTime: 1.29s
[38/1000] TrainLoss: 0.000051  ValLoss: 0.000060  Val RMSE: 0.0077  Val NMSE: 0.0012  Val NMSE_dB: -29.205426 dB  TrainTime: 1.14s
[39/1000] TrainLoss: 0.000057  ValLoss: 0.000030  Val RMSE: 0.0055  Val NMSE: 0.0006  Val NMSE_dB: -32.140952 dB  TrainTime: 1.20s
