=== Training CNN ===
[01/1000] TrainLoss: 0.025868  ValLoss: 0.021718  Val RMSE: 0.1474  Val NMSE: 0.7786  Val NMSE_dB: -1.087114 dB  TrainTime: 176.26s
[02/1000] TrainLoss: 0.016886  ValLoss: 0.013802  Val RMSE: 0.1175  Val NMSE: 0.4948  Val NMSE_dB: -3.055993 dB  TrainTime: 1.59s
[03/1000] TrainLoss: 0.011216  ValLoss: 0.009359  Val RMSE: 0.0967  Val NMSE: 0.3355  Val NMSE_dB: -4.743464 dB  TrainTime: 3.80s
[04/1000] TrainLoss: 0.007289  ValLoss: 0.007053  Val RMSE: 0.0840  Val NMSE: 0.2528  Val NMSE_dB: -5.971682 dB  TrainTime: 1.69s
[05/1000] TrainLoss: 0.005313  ValLoss: 0.005027  Val RMSE: 0.0709  Val NMSE: 0.1802  Val NMSE_dB: -7.442881 dB  TrainTime: 1.65s
[06/1000] TrainLoss: 0.004055  ValLoss: 0.003585  Val RMSE: 0.0599  Val NMSE: 0.1285  Val NMSE_dB: -8.910560 dB  TrainTime: 1.43s
[07/1000] TrainLoss: 0.002975  ValLoss: 0.002942  Val RMSE: 0.0542  Val NMSE: 0.1055  Val NMSE_dB: -9.769066 dB  TrainTime: 1.43s
[08/1000] TrainLoss: 0.001971  ValLoss: 0.002011  Val RMSE: 0.0448  Val NMSE: 0.0721  Val NMSE_dB: -11.420894 dB  TrainTime: 1.55s
[09/1000] TrainLoss: 0.001147  ValLoss: 0.000754  Val RMSE: 0.0275  Val NMSE: 0.0270  Val NMSE_dB: -15.679001 dB  TrainTime: 1.40s
[10/1000] TrainLoss: 0.000594  ValLoss: 0.000470  Val RMSE: 0.0217  Val NMSE: 0.0168  Val NMSE_dB: -17.734242 dB  TrainTime: 1.40s
[11/1000] TrainLoss: 0.000418  ValLoss: 0.000350  Val RMSE: 0.0187  Val NMSE: 0.0125  Val NMSE_dB: -19.018701 dB  TrainTime: 1.54s
[12/1000] TrainLoss: 0.000329  ValLoss: 0.000461  Val RMSE: 0.0215  Val NMSE: 0.0165  Val NMSE_dB: -17.820709 dB  TrainTime: 1.40s
[13/1000] TrainLoss: 0.000296  ValLoss: 0.000440  Val RMSE: 0.0210  Val NMSE: 0.0158  Val NMSE_dB: -18.019407 dB  TrainTime: 1.40s
[14/1000] TrainLoss: 0.000250  ValLoss: 0.000677  Val RMSE: 0.0260  Val NMSE: 0.0243  Val NMSE_dB: -16.147826 dB  TrainTime: 1.40s
[15/1000] TrainLoss: 0.000265  ValLoss: 0.000273  Val RMSE: 0.0165  Val NMSE: 0.0098  Val NMSE_dB: -20.098015 dB  TrainTime: 1.55s
[16/1000] TrainLoss: 0.000204  ValLoss: 0.000175  Val RMSE: 0.0132  Val NMSE: 0.0063  Val NMSE_dB: -22.016464 dB  TrainTime: 1.42s
[17/1000] TrainLoss: 0.000202  ValLoss: 0.000306  Val RMSE: 0.0175  Val NMSE: 0.0110  Val NMSE_dB: -19.592456 dB  TrainTime: 1.41s
[18/1000] TrainLoss: 0.000210  ValLoss: 0.000166  Val RMSE: 0.0129  Val NMSE: 0.0060  Val NMSE_dB: -22.248327 dB  TrainTime: 1.39s
[19/1000] TrainLoss: 0.000178  ValLoss: 0.000182  Val RMSE: 0.0135  Val NMSE: 0.0065  Val NMSE_dB: -21.860716 dB  TrainTime: 1.55s
[20/1000] TrainLoss: 0.000250  ValLoss: 0.000967  Val RMSE: 0.0311  Val NMSE: 0.0347  Val NMSE_dB: -14.596936 dB  TrainTime: 1.40s
[21/1000] TrainLoss: 0.000168  ValLoss: 0.000124  Val RMSE: 0.0111  Val NMSE: 0.0044  Val NMSE_dB: -23.516770 dB  TrainTime: 1.38s
[22/1000] TrainLoss: 0.000149  ValLoss: 0.000130  Val RMSE: 0.0114  Val NMSE: 0.0046  Val NMSE_dB: -23.330423 dB  TrainTime: 1.54s
[23/1000] TrainLoss: 0.000124  ValLoss: 0.000106  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.186927 dB  TrainTime: 1.41s
[24/1000] TrainLoss: 0.000126  ValLoss: 0.000081  Val RMSE: 0.0090  Val NMSE: 0.0029  Val NMSE_dB: -25.359445 dB  TrainTime: 1.44s
[25/1000] TrainLoss: 0.000128  ValLoss: 0.000088  Val RMSE: 0.0094  Val NMSE: 0.0032  Val NMSE_dB: -25.009837 dB  TrainTime: 3.70s
[26/1000] TrainLoss: 0.000153  ValLoss: 0.000092  Val RMSE: 0.0096  Val NMSE: 0.0033  Val NMSE_dB: -24.794232 dB  TrainTime: 1.56s
[27/1000] TrainLoss: 0.000114  ValLoss: 0.000162  Val RMSE: 0.0127  Val NMSE: 0.0058  Val NMSE_dB: -22.367533 dB  TrainTime: 1.40s
[28/1000] TrainLoss: 0.000109  ValLoss: 0.000173  Val RMSE: 0.0132  Val NMSE: 0.0062  Val NMSE_dB: -22.068514 dB  TrainTime: 1.39s
[29/1000] TrainLoss: 0.000109  ValLoss: 0.000125  Val RMSE: 0.0112  Val NMSE: 0.0045  Val NMSE_dB: -23.480367 dB  TrainTime: 1.42s
[30/1000] TrainLoss: 0.000127  ValLoss: 0.000093  Val RMSE: 0.0096  Val NMSE: 0.0033  Val NMSE_dB: -24.782673 dB  TrainTime: 1.55s
[31/1000] TrainLoss: 0.000099  ValLoss: 0.000073  Val RMSE: 0.0085  Val NMSE: 0.0026  Val NMSE_dB: -25.832385 dB  TrainTime: 1.39s
