=== Training CNN ===
[01/500] TrainLoss: 0.012462  ValLoss: 0.007254  Val RMSE: 0.0852  Val NMSE: 0.2530  Val NMSE_dB: -5.969443 dB  TrainTime: 4.75s
[02/500] TrainLoss: 0.006746  ValLoss: 0.006739  Val RMSE: 0.0821  Val NMSE: 0.2365  Val NMSE_dB: -6.262150 dB  TrainTime: 5.11s
[03/500] TrainLoss: 0.006441  ValLoss: 0.006827  Val RMSE: 0.0826  Val NMSE: 0.2409  Val NMSE_dB: -6.181576 dB  TrainTime: 7.83s
[04/500] TrainLoss: 0.006309  ValLoss: 0.006484  Val RMSE: 0.0805  Val NMSE: 0.2280  Val NMSE_dB: -6.419889 dB  TrainTime: 5.08s
[05/500] TrainLoss: 0.006235  ValLoss: 0.006406  Val RMSE: 0.0800  Val NMSE: 0.2253  Val NMSE_dB: -6.472200 dB  TrainTime: 5.17s
[06/500] TrainLoss: 0.006168  ValLoss: 0.006322  Val RMSE: 0.0795  Val NMSE: 0.2223  Val NMSE_dB: -6.531012 dB  TrainTime: 4.92s
[07/500] TrainLoss: 0.006109  ValLoss: 0.006456  Val RMSE: 0.0803  Val NMSE: 0.2272  Val NMSE_dB: -6.436716 dB  TrainTime: 4.93s
[08/500] TrainLoss: 0.006083  ValLoss: 0.006298  Val RMSE: 0.0794  Val NMSE: 0.2217  Val NMSE_dB: -6.541573 dB  TrainTime: 4.70s
[09/500] TrainLoss: 0.006047  ValLoss: 0.006316  Val RMSE: 0.0795  Val NMSE: 0.2221  Val NMSE_dB: -6.534811 dB  TrainTime: 5.17s
[10/500] TrainLoss: 0.006021  ValLoss: 0.006360  Val RMSE: 0.0797  Val NMSE: 0.2249  Val NMSE_dB: -6.479689 dB  TrainTime: 7.97s
[11/500] TrainLoss: 0.005989  ValLoss: 0.006272  Val RMSE: 0.0792  Val NMSE: 0.2212  Val NMSE_dB: -6.552754 dB  TrainTime: 5.67s
[12/500] TrainLoss: 0.005948  ValLoss: 0.006265  Val RMSE: 0.0792  Val NMSE: 0.2211  Val NMSE_dB: -6.553297 dB  TrainTime: 5.26s
[13/500] TrainLoss: 0.005945  ValLoss: 0.006257  Val RMSE: 0.0791  Val NMSE: 0.2204  Val NMSE_dB: -6.567852 dB  TrainTime: 5.52s
[14/500] TrainLoss: 0.005900  ValLoss: 0.006166  Val RMSE: 0.0785  Val NMSE: 0.2172  Val NMSE_dB: -6.632047 dB  TrainTime: 5.33s
[15/500] TrainLoss: 0.005886  ValLoss: 0.006153  Val RMSE: 0.0784  Val NMSE: 0.2171  Val NMSE_dB: -6.633974 dB  TrainTime: 5.24s
[16/500] TrainLoss: 0.005886  ValLoss: 0.006159  Val RMSE: 0.0785  Val NMSE: 0.2172  Val NMSE_dB: -6.631763 dB  TrainTime: 7.45s
[17/500] TrainLoss: 0.005864  ValLoss: 0.006365  Val RMSE: 0.0798  Val NMSE: 0.2247  Val NMSE_dB: -6.484430 dB  TrainTime: 5.36s
[18/500] TrainLoss: 0.005840  ValLoss: 0.006125  Val RMSE: 0.0783  Val NMSE: 0.2160  Val NMSE_dB: -6.654545 dB  TrainTime: 5.07s
[19/500] TrainLoss: 0.005812  ValLoss: 0.006095  Val RMSE: 0.0781  Val NMSE: 0.2150  Val NMSE_dB: -6.676278 dB  TrainTime: 4.96s
[20/500] TrainLoss: 0.005796  ValLoss: 0.006087  Val RMSE: 0.0780  Val NMSE: 0.2144  Val NMSE_dB: -6.687547 dB  TrainTime: 4.77s
[21/500] TrainLoss: 0.005783  ValLoss: 0.006065  Val RMSE: 0.0779  Val NMSE: 0.2137  Val NMSE_dB: -6.701978 dB  TrainTime: 5.05s
[22/500] TrainLoss: 0.005781  ValLoss: 0.006166  Val RMSE: 0.0785  Val NMSE: 0.2179  Val NMSE_dB: -6.617628 dB  TrainTime: 7.92s
[23/500] TrainLoss: 0.005776  ValLoss: 0.006263  Val RMSE: 0.0791  Val NMSE: 0.2216  Val NMSE_dB: -6.545092 dB  TrainTime: 5.06s
[24/500] TrainLoss: 0.005746  ValLoss: 0.006130  Val RMSE: 0.0783  Val NMSE: 0.2165  Val NMSE_dB: -6.645652 dB  TrainTime: 4.95s
[25/500] TrainLoss: 0.005730  ValLoss: 0.006093  Val RMSE: 0.0781  Val NMSE: 0.2150  Val NMSE_dB: -6.675297 dB  TrainTime: 5.13s
[26/500] TrainLoss: 0.005701  ValLoss: 0.006067  Val RMSE: 0.0779  Val NMSE: 0.2139  Val NMSE_dB: -6.698839 dB  TrainTime: 5.02s
[27/500] TrainLoss: 0.005701  ValLoss: 0.006499  Val RMSE: 0.0806  Val NMSE: 0.2308  Val NMSE_dB: -6.367805 dB  TrainTime: 4.99s
