=== Training LWM ===
[01/1000] TrainLoss: 0.095678  ValLoss: 0.049474  Val RMSE: 0.2224  Val NMSE: 0.9958  Val NMSE_dB: -0.018159 dB  TrainTime: 8.25s
[02/1000] TrainLoss: 0.026891  ValLoss: 0.001268  Val RMSE: 0.0356  Val NMSE: 0.0255  Val NMSE_dB: -15.929536 dB  TrainTime: 6.60s
[03/1000] TrainLoss: 0.002751  ValLoss: 0.000452  Val RMSE: 0.0213  Val NMSE: 0.0091  Val NMSE_dB: -20.409898 dB  TrainTime: 7.54s
[04/1000] TrainLoss: 0.001626  ValLoss: 0.000395  Val RMSE: 0.0199  Val NMSE: 0.0080  Val NMSE_dB: -20.993126 dB  TrainTime: 7.70s
[05/1000] TrainLoss: 0.001133  ValLoss: 0.000213  Val RMSE: 0.0146  Val NMSE: 0.0043  Val NMSE_dB: -23.684521 dB  TrainTime: 7.57s
[06/1000] TrainLoss: 0.000877  ValLoss: 0.000180  Val RMSE: 0.0134  Val NMSE: 0.0036  Val NMSE_dB: -24.418960 dB  TrainTime: 7.79s
[07/1000] TrainLoss: 0.000731  ValLoss: 0.000140  Val RMSE: 0.0118  Val NMSE: 0.0028  Val NMSE_dB: -25.487421 dB  TrainTime: 6.78s
[08/1000] TrainLoss: 0.000634  ValLoss: 0.000353  Val RMSE: 0.0188  Val NMSE: 0.0071  Val NMSE_dB: -21.481145 dB  TrainTime: 7.67s
[09/1000] TrainLoss: 0.000563  ValLoss: 0.000131  Val RMSE: 0.0114  Val NMSE: 0.0026  Val NMSE_dB: -25.795908 dB  TrainTime: 7.56s
[10/1000] TrainLoss: 0.000494  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0018  Val NMSE_dB: -27.403732 dB  TrainTime: 7.79s
[11/1000] TrainLoss: 0.000449  ValLoss: 0.000170  Val RMSE: 0.0130  Val NMSE: 0.0034  Val NMSE_dB: -24.665899 dB  TrainTime: 6.76s
[12/1000] TrainLoss: 0.000412  ValLoss: 0.000153  Val RMSE: 0.0124  Val NMSE: 0.0031  Val NMSE_dB: -25.125858 dB  TrainTime: 7.79s
[13/1000] TrainLoss: 0.000383  ValLoss: 0.000085  Val RMSE: 0.0092  Val NMSE: 0.0017  Val NMSE_dB: -27.652180 dB  TrainTime: 7.60s
[14/1000] TrainLoss: 0.000354  ValLoss: 0.000081  Val RMSE: 0.0090  Val NMSE: 0.0016  Val NMSE_dB: -27.901402 dB  TrainTime: 7.62s
[15/1000] TrainLoss: 0.000331  ValLoss: 0.000093  Val RMSE: 0.0096  Val NMSE: 0.0019  Val NMSE_dB: -27.276221 dB  TrainTime: 6.94s
[16/1000] TrainLoss: 0.000313  ValLoss: 0.000066  Val RMSE: 0.0081  Val NMSE: 0.0013  Val NMSE_dB: -28.792969 dB  TrainTime: 7.68s
[17/1000] TrainLoss: 0.000291  ValLoss: 0.000082  Val RMSE: 0.0090  Val NMSE: 0.0016  Val NMSE_dB: -27.835640 dB  TrainTime: 7.57s
[18/1000] TrainLoss: 0.000272  ValLoss: 0.000048  Val RMSE: 0.0069  Val NMSE: 0.0010  Val NMSE_dB: -30.159627 dB  TrainTime: 7.59s
[19/1000] TrainLoss: 0.000260  ValLoss: 0.000077  Val RMSE: 0.0088  Val NMSE: 0.0016  Val NMSE_dB: -28.081274 dB  TrainTime: 6.80s
[20/1000] TrainLoss: 0.000249  ValLoss: 0.000064  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.889512 dB  TrainTime: 7.80s
[21/1000] TrainLoss: 0.000233  ValLoss: 0.000103  Val RMSE: 0.0101  Val NMSE: 0.0021  Val NMSE_dB: -26.850469 dB  TrainTime: 8.28s
[22/1000] TrainLoss: 0.000229  ValLoss: 0.000076  Val RMSE: 0.0087  Val NMSE: 0.0015  Val NMSE_dB: -28.155196 dB  TrainTime: 7.88s
[23/1000] TrainLoss: 0.000212  ValLoss: 0.000070  Val RMSE: 0.0084  Val NMSE: 0.0014  Val NMSE_dB: -28.509347 dB  TrainTime: 7.16s
[24/1000] TrainLoss: 0.000202  ValLoss: 0.000087  Val RMSE: 0.0093  Val NMSE: 0.0017  Val NMSE_dB: -27.579213 dB  TrainTime: 8.10s
[25/1000] TrainLoss: 0.000196  ValLoss: 0.000046  Val RMSE: 0.0068  Val NMSE: 0.0009  Val NMSE_dB: -30.307420 dB  TrainTime: 8.24s
[26/1000] TrainLoss: 0.000186  ValLoss: 0.000114  Val RMSE: 0.0107  Val NMSE: 0.0023  Val NMSE_dB: -26.400321 dB  TrainTime: 8.03s
[27/1000] TrainLoss: 0.000184  ValLoss: 0.000080  Val RMSE: 0.0090  Val NMSE: 0.0016  Val NMSE_dB: -27.905673 dB  TrainTime: 6.86s
[28/1000] TrainLoss: 0.000172  ValLoss: 0.000082  Val RMSE: 0.0090  Val NMSE: 0.0016  Val NMSE_dB: -27.845373 dB  TrainTime: 7.65s
[29/1000] TrainLoss: 0.000168  ValLoss: 0.000074  Val RMSE: 0.0086  Val NMSE: 0.0015  Val NMSE_dB: -28.297935 dB  TrainTime: 7.77s
[30/1000] TrainLoss: 0.000161  ValLoss: 0.000059  Val RMSE: 0.0077  Val NMSE: 0.0012  Val NMSE_dB: -29.235787 dB  TrainTime: 7.97s
[31/1000] TrainLoss: 0.000151  ValLoss: 0.000055  Val RMSE: 0.0074  Val NMSE: 0.0011  Val NMSE_dB: -29.577671 dB  TrainTime: 7.21s
[32/1000] TrainLoss: 0.000150  ValLoss: 0.000035  Val RMSE: 0.0060  Val NMSE: 0.0007  Val NMSE_dB: -31.465881 dB  TrainTime: 7.73s
[33/1000] TrainLoss: 0.000144  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.842805 dB  TrainTime: 7.66s
[34/1000] TrainLoss: 0.000142  ValLoss: 0.000032  Val RMSE: 0.0057  Val NMSE: 0.0006  Val NMSE_dB: -31.900808 dB  TrainTime: 7.77s
[35/1000] TrainLoss: 0.000135  ValLoss: 0.000051  Val RMSE: 0.0071  Val NMSE: 0.0010  Val NMSE_dB: -29.890312 dB  TrainTime: 7.88s
[36/1000] TrainLoss: 0.000145  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0011  Val NMSE_dB: -29.770678 dB  TrainTime: 6.95s
[37/1000] TrainLoss: 0.000128  ValLoss: 0.000041  Val RMSE: 0.0064  Val NMSE: 0.0008  Val NMSE_dB: -30.877813 dB  TrainTime: 7.92s
[38/1000] TrainLoss: 0.000123  ValLoss: 0.000048  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.117766 dB  TrainTime: 8.05s
[39/1000] TrainLoss: 0.000142  ValLoss: 0.000050  Val RMSE: 0.0071  Val NMSE: 0.0010  Val NMSE_dB: -29.998090 dB  TrainTime: 8.05s
[40/1000] TrainLoss: 0.000114  ValLoss: 0.000030  Val RMSE: 0.0055  Val NMSE: 0.0006  Val NMSE_dB: -32.219458 dB  TrainTime: 7.43s
[41/1000] TrainLoss: 0.000121  ValLoss: 0.000049  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.072617 dB  TrainTime: 8.18s
[42/1000] TrainLoss: 0.000115  ValLoss: 0.000038  Val RMSE: 0.0062  Val NMSE: 0.0008  Val NMSE_dB: -31.141837 dB  TrainTime: 8.10s
[43/1000] TrainLoss: 0.000110  ValLoss: 0.000064  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.871545 dB  TrainTime: 7.96s
[44/1000] TrainLoss: 0.000114  ValLoss: 0.000043  Val RMSE: 0.0066  Val NMSE: 0.0009  Val NMSE_dB: -30.630003 dB  TrainTime: 7.12s
[45/1000] TrainLoss: 0.000108  ValLoss: 0.000165  Val RMSE: 0.0128  Val NMSE: 0.0033  Val NMSE_dB: -24.795444 dB  TrainTime: 8.10s
[46/1000] TrainLoss: 0.000128  ValLoss: 0.000016  Val RMSE: 0.0039  Val NMSE: 0.0003  Val NMSE_dB: -35.051041 dB  TrainTime: 8.13s
[47/1000] TrainLoss: 0.000101  ValLoss: 0.000056  Val RMSE: 0.0075  Val NMSE: 0.0011  Val NMSE_dB: -29.456051 dB  TrainTime: 7.91s
[48/1000] TrainLoss: 0.000099  ValLoss: 0.000048  Val RMSE: 0.0070  Val NMSE: 0.0010  Val NMSE_dB: -30.111521 dB  TrainTime: 7.11s
[49/1000] TrainLoss: 0.000100  ValLoss: 0.000039  Val RMSE: 0.0063  Val NMSE: 0.0008  Val NMSE_dB: -31.026281 dB  TrainTime: 8.06s
[50/1000] TrainLoss: 0.000105  ValLoss: 0.000092  Val RMSE: 0.0096  Val NMSE: 0.0019  Val NMSE_dB: -27.327995 dB  TrainTime: 8.18s
[51/1000] TrainLoss: 0.000095  ValLoss: 0.000051  Val RMSE: 0.0071  Val NMSE: 0.0010  Val NMSE_dB: -29.889709 dB  TrainTime: 8.13s
[52/1000] TrainLoss: 0.000091  ValLoss: 0.000034  Val RMSE: 0.0058  Val NMSE: 0.0007  Val NMSE_dB: -31.654938 dB  TrainTime: 7.17s
[53/1000] TrainLoss: 0.000096  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0004  Val NMSE_dB: -33.508908 dB  TrainTime: 8.05s
[54/1000] TrainLoss: 0.000098  ValLoss: 0.000330  Val RMSE: 0.0182  Val NMSE: 0.0066  Val NMSE_dB: -21.780625 dB  TrainTime: 7.91s
[55/1000] TrainLoss: 0.000101  ValLoss: 0.000015  Val RMSE: 0.0039  Val NMSE: 0.0003  Val NMSE_dB: -35.175175 dB  TrainTime: 8.18s
[56/1000] TrainLoss: 0.000074  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0011  Val NMSE_dB: -29.771202 dB  TrainTime: 7.02s
[57/1000] TrainLoss: 0.000095  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0009  Val NMSE_dB: -30.703273 dB  TrainTime: 7.66s
[58/1000] TrainLoss: 0.000085  ValLoss: 0.000111  Val RMSE: 0.0106  Val NMSE: 0.0022  Val NMSE_dB: -26.495678 dB  TrainTime: 7.76s
[59/1000] TrainLoss: 0.000089  ValLoss: 0.000076  Val RMSE: 0.0087  Val NMSE: 0.0015  Val NMSE_dB: -28.175400 dB  TrainTime: 7.73s
[60/1000] TrainLoss: 0.000085  ValLoss: 0.000065  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.851296 dB  TrainTime: 6.99s
[61/1000] TrainLoss: 0.000077  ValLoss: 0.000079  Val RMSE: 0.0089  Val NMSE: 0.0016  Val NMSE_dB: -27.981051 dB  TrainTime: 7.82s
[62/1000] TrainLoss: 0.000081  ValLoss: 0.000034  Val RMSE: 0.0058  Val NMSE: 0.0007  Val NMSE_dB: -31.659637 dB  TrainTime: 7.69s
[63/1000] TrainLoss: 0.000081  ValLoss: 0.000029  Val RMSE: 0.0054  Val NMSE: 0.0006  Val NMSE_dB: -32.316517 dB  TrainTime: 7.67s
[64/1000] TrainLoss: 0.000080  ValLoss: 0.000013  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.668381 dB  TrainTime: 6.92s
[65/1000] TrainLoss: 0.000068  ValLoss: 0.000013  Val RMSE: 0.0036  Val NMSE: 0.0003  Val NMSE_dB: -35.944711 dB  TrainTime: 7.77s
[66/1000] TrainLoss: 0.000071  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0005  Val NMSE_dB: -32.951226 dB  TrainTime: 7.79s
[67/1000] TrainLoss: 0.000073  ValLoss: 0.000048  Val RMSE: 0.0069  Val NMSE: 0.0010  Val NMSE_dB: -30.129853 dB  TrainTime: 7.80s
[68/1000] TrainLoss: 0.000069  ValLoss: 0.000039  Val RMSE: 0.0062  Val NMSE: 0.0008  Val NMSE_dB: -31.067873 dB  TrainTime: 6.84s
[69/1000] TrainLoss: 0.000072  ValLoss: 0.000011  Val RMSE: 0.0034  Val NMSE: 0.0002  Val NMSE_dB: -36.382535 dB  TrainTime: 7.65s
[70/1000] TrainLoss: 0.000086  ValLoss: 0.000033  Val RMSE: 0.0058  Val NMSE: 0.0007  Val NMSE_dB: -31.762238 dB  TrainTime: 7.95s
[71/1000] TrainLoss: 0.000057  ValLoss: 0.000054  Val RMSE: 0.0073  Val NMSE: 0.0011  Val NMSE_dB: -29.666611 dB  TrainTime: 7.87s
[72/1000] TrainLoss: 0.000062  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.549995 dB  TrainTime: 7.24s
[73/1000] TrainLoss: 0.000063  ValLoss: 0.000191  Val RMSE: 0.0138  Val NMSE: 0.0038  Val NMSE_dB: -24.153560 dB  TrainTime: 7.92s
[74/1000] TrainLoss: 0.000065  ValLoss: 0.000022  Val RMSE: 0.0046  Val NMSE: 0.0004  Val NMSE_dB: -33.625077 dB  TrainTime: 7.81s
[75/1000] TrainLoss: 0.000069  ValLoss: 0.000068  Val RMSE: 0.0083  Val NMSE: 0.0014  Val NMSE_dB: -28.616936 dB  TrainTime: 7.87s
[76/1000] TrainLoss: 0.000057  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0001  Val NMSE_dB: -38.374036 dB  TrainTime: 7.21s
[77/1000] TrainLoss: 0.000059  ValLoss: 0.000017  Val RMSE: 0.0041  Val NMSE: 0.0003  Val NMSE_dB: -34.694054 dB  TrainTime: 8.30s
[78/1000] TrainLoss: 0.000053  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.478812 dB  TrainTime: 7.86s
[79/1000] TrainLoss: 0.000055  ValLoss: 0.000029  Val RMSE: 0.0054  Val NMSE: 0.0006  Val NMSE_dB: -32.278432 dB  TrainTime: 7.73s
[80/1000] TrainLoss: 0.001496  ValLoss: 0.000056  Val RMSE: 0.0075  Val NMSE: 0.0011  Val NMSE_dB: -29.479600 dB  TrainTime: 7.04s
[81/1000] TrainLoss: 0.000132  ValLoss: 0.000020  Val RMSE: 0.0045  Val NMSE: 0.0004  Val NMSE_dB: -33.941579 dB  TrainTime: 9.34s
[82/1000] TrainLoss: 0.000094  ValLoss: 0.000020  Val RMSE: 0.0044  Val NMSE: 0.0004  Val NMSE_dB: -34.031064 dB  TrainTime: 7.84s
[83/1000] TrainLoss: 0.000077  ValLoss: 0.000009  Val RMSE: 0.0031  Val NMSE: 0.0002  Val NMSE_dB: -37.231992 dB  TrainTime: 7.72s
[84/1000] TrainLoss: 0.000067  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.654144 dB  TrainTime: 6.89s
[85/1000] TrainLoss: 0.000073  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0002  Val NMSE_dB: -37.110044 dB  TrainTime: 7.90s
[86/1000] TrainLoss: 0.000061  ValLoss: 0.000018  Val RMSE: 0.0043  Val NMSE: 0.0004  Val NMSE_dB: -34.390429 dB  TrainTime: 7.91s
[87/1000] TrainLoss: 0.000060  ValLoss: 0.000010  Val RMSE: 0.0032  Val NMSE: 0.0002  Val NMSE_dB: -36.828943 dB  TrainTime: 7.75s
[88/1000] TrainLoss: 0.000060  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0001  Val NMSE_dB: -39.997222 dB  TrainTime: 6.90s
[89/1000] TrainLoss: 0.000053  ValLoss: 0.000050  Val RMSE: 0.0071  Val NMSE: 0.0010  Val NMSE_dB: -29.950852 dB  TrainTime: 7.91s
[90/1000] TrainLoss: 0.000057  ValLoss: 0.000012  Val RMSE: 0.0034  Val NMSE: 0.0002  Val NMSE_dB: -36.253699 dB  TrainTime: 7.97s
[91/1000] TrainLoss: 0.000054  ValLoss: 0.000015  Val RMSE: 0.0039  Val NMSE: 0.0003  Val NMSE_dB: -35.244006 dB  TrainTime: 7.92s
[92/1000] TrainLoss: 0.000056  ValLoss: 0.000034  Val RMSE: 0.0059  Val NMSE: 0.0007  Val NMSE_dB: -31.589360 dB  TrainTime: 6.96s
[93/1000] TrainLoss: 0.000051  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0001  Val NMSE_dB: -39.378611 dB  TrainTime: 7.99s
[94/1000] TrainLoss: 0.000046  ValLoss: 0.000008  Val RMSE: 0.0028  Val NMSE: 0.0002  Val NMSE_dB: -38.168824 dB  TrainTime: 7.85s
[95/1000] TrainLoss: 0.000045  ValLoss: 0.000014  Val RMSE: 0.0038  Val NMSE: 0.0003  Val NMSE_dB: -35.416885 dB  TrainTime: 7.99s
[96/1000] TrainLoss: 0.000054  ValLoss: 0.000046  Val RMSE: 0.0068  Val NMSE: 0.0009  Val NMSE_dB: -30.338895 dB  TrainTime: 7.13s
[97/1000] TrainLoss: 0.000043  ValLoss: 0.000035  Val RMSE: 0.0059  Val NMSE: 0.0007  Val NMSE_dB: -31.485496 dB  TrainTime: 7.78s
[98/1000] TrainLoss: 0.000045  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0001  Val NMSE_dB: -38.300258 dB  TrainTime: 7.86s
[99/1000] TrainLoss: 0.000042  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0001  Val NMSE_dB: -39.405862 dB  TrainTime: 7.98s
[100/1000] TrainLoss: 0.000043  ValLoss: 0.000053  Val RMSE: 0.0073  Val NMSE: 0.0011  Val NMSE_dB: -29.745220 dB  TrainTime: 7.97s
[101/1000] TrainLoss: 0.000041  ValLoss: 0.000009  Val RMSE: 0.0030  Val NMSE: 0.0002  Val NMSE_dB: -37.354049 dB  TrainTime: 7.07s
[102/1000] TrainLoss: 0.000040  ValLoss: 0.000026  Val RMSE: 0.0051  Val NMSE: 0.0005  Val NMSE_dB: -32.781845 dB  TrainTime: 7.73s
[103/1000] TrainLoss: 0.000041  ValLoss: 0.000006  Val RMSE: 0.0025  Val NMSE: 0.0001  Val NMSE_dB: -39.021041 dB  TrainTime: 7.68s
[104/1000] TrainLoss: 0.000040  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0005  Val NMSE_dB: -33.026920 dB  TrainTime: 7.66s
[105/1000] TrainLoss: 0.000038  ValLoss: 0.000017  Val RMSE: 0.0041  Val NMSE: 0.0003  Val NMSE_dB: -34.760610 dB  TrainTime: 7.06s
[106/1000] TrainLoss: 0.000044  ValLoss: 0.000018  Val RMSE: 0.0042  Val NMSE: 0.0004  Val NMSE_dB: -34.435892 dB  TrainTime: 7.85s
[107/1000] TrainLoss: 0.000044  ValLoss: 0.000012  Val RMSE: 0.0034  Val NMSE: 0.0002  Val NMSE_dB: -36.316579 dB  TrainTime: 7.67s
[108/1000] TrainLoss: 0.000026  ValLoss: 0.000014  Val RMSE: 0.0038  Val NMSE: 0.0003  Val NMSE_dB: -35.448354 dB  TrainTime: 7.67s
[109/1000] TrainLoss: 0.000036  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0001  Val NMSE_dB: -38.463774 dB  TrainTime: 6.93s
[110/1000] TrainLoss: 0.000036  ValLoss: 0.000020  Val RMSE: 0.0045  Val NMSE: 0.0004  Val NMSE_dB: -33.955261 dB  TrainTime: 7.83s
[111/1000] TrainLoss: 0.000030  ValLoss: 0.000043  Val RMSE: 0.0066  Val NMSE: 0.0009  Val NMSE_dB: -30.625890 dB  TrainTime: 7.88s
[112/1000] TrainLoss: 0.000034  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.220604 dB  TrainTime: 7.78s
[113/1000] TrainLoss: 0.000030  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0003  Val NMSE_dB: -35.492947 dB  TrainTime: 7.01s
[114/1000] TrainLoss: 0.000040  ValLoss: 0.000044  Val RMSE: 0.0066  Val NMSE: 0.0009  Val NMSE_dB: -30.558503 dB  TrainTime: 7.75s
[115/1000] TrainLoss: 0.000026  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0002  Val NMSE_dB: -37.096710 dB  TrainTime: 7.81s
[116/1000] TrainLoss: 0.000028  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0001  Val NMSE_dB: -40.163567 dB  TrainTime: 7.81s
[117/1000] TrainLoss: 0.000032  ValLoss: 0.000004  Val RMSE: 0.0020  Val NMSE: 0.0001  Val NMSE_dB: -40.759435 dB  TrainTime: 6.88s
[118/1000] TrainLoss: 0.000028  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0003  Val NMSE_dB: -36.019208 dB  TrainTime: 7.68s
[119/1000] TrainLoss: 0.000028  ValLoss: 0.000018  Val RMSE: 0.0043  Val NMSE: 0.0004  Val NMSE_dB: -34.354504 dB  TrainTime: 7.77s
[120/1000] TrainLoss: 0.000032  ValLoss: 0.000004  Val RMSE: 0.0021  Val NMSE: 0.0001  Val NMSE_dB: -40.437201 dB  TrainTime: 7.90s
[121/1000] TrainLoss: 0.000024  ValLoss: 0.000047  Val RMSE: 0.0069  Val NMSE: 0.0010  Val NMSE_dB: -30.204613 dB  TrainTime: 7.05s
[122/1000] TrainLoss: 0.000029  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.665710 dB  TrainTime: 7.82s
[123/1000] TrainLoss: 0.000026  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.120330 dB  TrainTime: 7.78s
[124/1000] TrainLoss: 0.000025  ValLoss: 0.000008  Val RMSE: 0.0029  Val NMSE: 0.0002  Val NMSE_dB: -37.711907 dB  TrainTime: 7.74s
[125/1000] TrainLoss: 0.000025  ValLoss: 0.000038  Val RMSE: 0.0062  Val NMSE: 0.0008  Val NMSE_dB: -31.147210 dB  TrainTime: 7.07s
[126/1000] TrainLoss: 0.000024  ValLoss: 0.000099  Val RMSE: 0.0099  Val NMSE: 0.0020  Val NMSE_dB: -27.004718 dB  TrainTime: 7.95s
[127/1000] TrainLoss: 0.000753  ValLoss: 0.000014  Val RMSE: 0.0038  Val NMSE: 0.0003  Val NMSE_dB: -35.454985 dB  TrainTime: 7.83s
[128/1000] TrainLoss: 0.000042  ValLoss: 0.000003  Val RMSE: 0.0018  Val NMSE: 0.0001  Val NMSE_dB: -41.644985 dB  TrainTime: 7.80s
[129/1000] TrainLoss: 0.000029  ValLoss: 0.000009  Val RMSE: 0.0029  Val NMSE: 0.0002  Val NMSE_dB: -37.640559 dB  TrainTime: 6.98s
[130/1000] TrainLoss: 0.000025  ValLoss: 0.000005  Val RMSE: 0.0023  Val NMSE: 0.0001  Val NMSE_dB: -39.801877 dB  TrainTime: 7.93s
[131/1000] TrainLoss: 0.000024  ValLoss: 0.000007  Val RMSE: 0.0027  Val NMSE: 0.0002  Val NMSE_dB: -38.230708 dB  TrainTime: 8.00s
[132/1000] TrainLoss: 0.000022  ValLoss: 0.000004  Val RMSE: 0.0020  Val NMSE: 0.0001  Val NMSE_dB: -41.085043 dB  TrainTime: 7.79s
[133/1000] TrainLoss: 0.000021  ValLoss: 0.000031  Val RMSE: 0.0055  Val NMSE: 0.0006  Val NMSE_dB: -32.082299 dB  TrainTime: 7.73s
[134/1000] TrainLoss: 0.000023  ValLoss: 0.000005  Val RMSE: 0.0023  Val NMSE: 0.0001  Val NMSE_dB: -39.642634 dB  TrainTime: 6.91s
[135/1000] TrainLoss: 0.000021  ValLoss: 0.000004  Val RMSE: 0.0021  Val NMSE: 0.0001  Val NMSE_dB: -40.674174 dB  TrainTime: 7.87s
[136/1000] TrainLoss: 0.000019  ValLoss: 0.000002  Val RMSE: 0.0015  Val NMSE: 0.0000  Val NMSE_dB: -43.580881 dB  TrainTime: 7.90s
[137/1000] TrainLoss: 0.000022  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0001  Val NMSE_dB: -39.388574 dB  TrainTime: 7.72s
[138/1000] TrainLoss: 0.000017  ValLoss: 0.000015  Val RMSE: 0.0039  Val NMSE: 0.0003  Val NMSE_dB: -35.124016 dB  TrainTime: 6.77s
[139/1000] TrainLoss: 0.000022  ValLoss: 0.000002  Val RMSE: 0.0013  Val NMSE: 0.0000  Val NMSE_dB: -44.743550 dB  TrainTime: 7.68s
[140/1000] TrainLoss: 0.000022  ValLoss: 0.000003  Val RMSE: 0.0017  Val NMSE: 0.0001  Val NMSE_dB: -42.125667 dB  TrainTime: 7.95s
[141/1000] TrainLoss: 0.000017  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0001  Val NMSE_dB: -38.521571 dB  TrainTime: 7.83s
[142/1000] TrainLoss: 0.000017  ValLoss: 0.000008  Val RMSE: 0.0028  Val NMSE: 0.0002  Val NMSE_dB: -38.002822 dB  TrainTime: 6.77s
[143/1000] TrainLoss: 0.000023  ValLoss: 0.000021  Val RMSE: 0.0046  Val NMSE: 0.0004  Val NMSE_dB: -33.727180 dB  TrainTime: 7.65s
