=== Training LWM ===
[01/1000] TrainLoss: 0.043718  ValLoss: 0.027947  Val RMSE: 0.1672  Val NMSE: 1.0019  Val NMSE_dB: 0.008275 dB  TrainTime: 14.42s
[02/1000] TrainLoss: 0.028020  ValLoss: 0.027711  Val RMSE: 0.1665  Val NMSE: 0.9935  Val NMSE_dB: -0.028505 dB  TrainTime: 11.46s
[03/1000] TrainLoss: 0.014046  ValLoss: 0.001287  Val RMSE: 0.0359  Val NMSE: 0.0462  Val NMSE_dB: -13.357702 dB  TrainTime: 14.46s
[04/1000] TrainLoss: 0.001918  ValLoss: 0.000441  Val RMSE: 0.0210  Val NMSE: 0.0158  Val NMSE_dB: -18.007581 dB  TrainTime: 11.36s
[05/1000] TrainLoss: 0.001184  ValLoss: 0.000271  Val RMSE: 0.0165  Val NMSE: 0.0097  Val NMSE_dB: -20.126198 dB  TrainTime: 11.40s
[06/1000] TrainLoss: 0.000891  ValLoss: 0.000172  Val RMSE: 0.0131  Val NMSE: 0.0062  Val NMSE_dB: -22.107698 dB  TrainTime: 14.35s
[07/1000] TrainLoss: 0.000728  ValLoss: 0.000140  Val RMSE: 0.0118  Val NMSE: 0.0050  Val NMSE_dB: -23.001374 dB  TrainTime: 11.28s
[08/1000] TrainLoss: 0.000623  ValLoss: 0.000095  Val RMSE: 0.0098  Val NMSE: 0.0034  Val NMSE_dB: -24.661207 dB  TrainTime: 11.50s
[09/1000] TrainLoss: 0.000546  ValLoss: 0.000095  Val RMSE: 0.0098  Val NMSE: 0.0034  Val NMSE_dB: -24.655397 dB  TrainTime: 14.49s
[10/1000] TrainLoss: 0.000487  ValLoss: 0.000118  Val RMSE: 0.0109  Val NMSE: 0.0042  Val NMSE_dB: -23.724818 dB  TrainTime: 11.19s
[11/1000] TrainLoss: 0.000440  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0032  Val NMSE_dB: -24.935074 dB  TrainTime: 11.99s
[12/1000] TrainLoss: 0.000400  ValLoss: 0.000092  Val RMSE: 0.0096  Val NMSE: 0.0033  Val NMSE_dB: -24.808868 dB  TrainTime: 14.23s
[13/1000] TrainLoss: 0.000370  ValLoss: 0.000167  Val RMSE: 0.0129  Val NMSE: 0.0060  Val NMSE_dB: -22.237442 dB  TrainTime: 11.69s
[14/1000] TrainLoss: 0.000345  ValLoss: 0.000103  Val RMSE: 0.0102  Val NMSE: 0.0037  Val NMSE_dB: -24.305213 dB  TrainTime: 11.84s
[15/1000] TrainLoss: 0.000320  ValLoss: 0.000080  Val RMSE: 0.0089  Val NMSE: 0.0029  Val NMSE_dB: -25.445863 dB  TrainTime: 13.87s
[16/1000] TrainLoss: 0.000301  ValLoss: 0.000084  Val RMSE: 0.0092  Val NMSE: 0.0030  Val NMSE_dB: -25.190815 dB  TrainTime: 12.00s
[17/1000] TrainLoss: 0.000283  ValLoss: 0.000084  Val RMSE: 0.0091  Val NMSE: 0.0030  Val NMSE_dB: -25.227632 dB  TrainTime: 13.74s
[18/1000] TrainLoss: 0.000268  ValLoss: 0.000071  Val RMSE: 0.0084  Val NMSE: 0.0025  Val NMSE_dB: -25.943336 dB  TrainTime: 11.77s
[19/1000] TrainLoss: 0.000252  ValLoss: 0.000074  Val RMSE: 0.0086  Val NMSE: 0.0027  Val NMSE_dB: -25.734916 dB  TrainTime: 11.84s
[20/1000] TrainLoss: 0.000241  ValLoss: 0.000064  Val RMSE: 0.0080  Val NMSE: 0.0023  Val NMSE_dB: -26.370091 dB  TrainTime: 13.70s
[21/1000] TrainLoss: 0.000227  ValLoss: 0.000091  Val RMSE: 0.0095  Val NMSE: 0.0033  Val NMSE_dB: -24.868133 dB  TrainTime: 11.75s
[22/1000] TrainLoss: 0.000217  ValLoss: 0.000062  Val RMSE: 0.0079  Val NMSE: 0.0022  Val NMSE_dB: -26.511572 dB  TrainTime: 11.56s
[23/1000] TrainLoss: 0.000207  ValLoss: 0.000060  Val RMSE: 0.0077  Val NMSE: 0.0021  Val NMSE_dB: -26.679994 dB  TrainTime: 13.93s
[24/1000] TrainLoss: 0.000195  ValLoss: 0.000050  Val RMSE: 0.0071  Val NMSE: 0.0018  Val NMSE_dB: -27.450477 dB  TrainTime: 11.66s
[25/1000] TrainLoss: 0.000188  ValLoss: 0.000059  Val RMSE: 0.0077  Val NMSE: 0.0021  Val NMSE_dB: -26.737594 dB  TrainTime: 11.60s
[26/1000] TrainLoss: 0.000181  ValLoss: 0.000075  Val RMSE: 0.0086  Val NMSE: 0.0027  Val NMSE_dB: -25.725352 dB  TrainTime: 14.13s
[27/1000] TrainLoss: 0.000172  ValLoss: 0.000053  Val RMSE: 0.0073  Val NMSE: 0.0019  Val NMSE_dB: -27.188033 dB  TrainTime: 11.48s
[28/1000] TrainLoss: 0.000164  ValLoss: 0.000018  Val RMSE: 0.0043  Val NMSE: 0.0007  Val NMSE_dB: -31.801744 dB  TrainTime: 14.10s
[29/1000] TrainLoss: 0.000160  ValLoss: 0.000036  Val RMSE: 0.0060  Val NMSE: 0.0013  Val NMSE_dB: -28.860145 dB  TrainTime: 11.83s
[30/1000] TrainLoss: 0.000159  ValLoss: 0.000036  Val RMSE: 0.0060  Val NMSE: 0.0013  Val NMSE_dB: -28.927461 dB  TrainTime: 11.33s
[31/1000] TrainLoss: 0.000143  ValLoss: 0.000044  Val RMSE: 0.0066  Val NMSE: 0.0016  Val NMSE_dB: -28.009278 dB  TrainTime: 14.28s
[32/1000] TrainLoss: 0.000145  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0013  Val NMSE_dB: -28.796201 dB  TrainTime: 11.37s
[33/1000] TrainLoss: 0.000136  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.483978 dB  TrainTime: 11.69s
[34/1000] TrainLoss: 0.000129  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.440471 dB  TrainTime: 14.37s
