=== Training LWM ===
[01/150] TrainLoss: 0.034498  ValLoss: 0.026478  Val RMSE: 0.1627  Val NMSE: 0.9318  Val NMSE_dB: -0.306701 dB  TrainTime: 27.46s
[02/150] TrainLoss: 0.016886  ValLoss: 0.008052  Val RMSE: 0.0897  Val NMSE: 0.2817  Val NMSE_dB: -5.501832 dB  TrainTime: 28.35s
[03/150] TrainLoss: 0.008144  ValLoss: 0.006980  Val RMSE: 0.0835  Val NMSE: 0.2448  Val NMSE_dB: -6.112752 dB  TrainTime: 29.95s
[04/150] TrainLoss: 0.007370  ValLoss: 0.006767  Val RMSE: 0.0823  Val NMSE: 0.2378  Val NMSE_dB: -6.238443 dB  TrainTime: 30.17s
[05/150] TrainLoss: 0.006983  ValLoss: 0.006531  Val RMSE: 0.0808  Val NMSE: 0.2299  Val NMSE_dB: -6.385355 dB  TrainTime: 31.51s
[06/150] TrainLoss: 0.006737  ValLoss: 0.006698  Val RMSE: 0.0818  Val NMSE: 0.2373  Val NMSE_dB: -6.246545 dB  TrainTime: 30.54s
[07/150] TrainLoss: 0.006582  ValLoss: 0.006413  Val RMSE: 0.0801  Val NMSE: 0.2255  Val NMSE_dB: -6.468886 dB  TrainTime: 29.80s
[08/150] TrainLoss: 0.006421  ValLoss: 0.006370  Val RMSE: 0.0798  Val NMSE: 0.2248  Val NMSE_dB: -6.481504 dB  TrainTime: 30.20s
[09/150] TrainLoss: 0.006346  ValLoss: 0.006378  Val RMSE: 0.0799  Val NMSE: 0.2250  Val NMSE_dB: -6.477755 dB  TrainTime: 31.09s
[10/150] TrainLoss: 0.006283  ValLoss: 0.006170  Val RMSE: 0.0785  Val NMSE: 0.2171  Val NMSE_dB: -6.632496 dB  TrainTime: 28.19s
[11/150] TrainLoss: 0.006190  ValLoss: 0.006141  Val RMSE: 0.0784  Val NMSE: 0.2167  Val NMSE_dB: -6.641354 dB  TrainTime: 33.36s
[12/150] TrainLoss: 0.006130  ValLoss: 0.006146  Val RMSE: 0.0784  Val NMSE: 0.2167  Val NMSE_dB: -6.641350 dB  TrainTime: 37.68s
[13/150] TrainLoss: 0.006061  ValLoss: 0.006316  Val RMSE: 0.0795  Val NMSE: 0.2242  Val NMSE_dB: -6.494049 dB  TrainTime: 32.09s
[14/150] TrainLoss: 0.006007  ValLoss: 0.005989  Val RMSE: 0.0774  Val NMSE: 0.2105  Val NMSE_dB: -6.766574 dB  TrainTime: 30.85s
[15/150] TrainLoss: 0.005948  ValLoss: 0.006282  Val RMSE: 0.0793  Val NMSE: 0.2216  Val NMSE_dB: -6.544577 dB  TrainTime: 30.81s
