=== MLP Training ===
=== Training MLP ===
[01/1000] TrainLoss: 0.005900  ValLoss: 0.000285  Val RMSE: 0.0169  Val NMSE: 0.0102  Val NMSE_dB: -19.912825 dB  TrainTime: 2.38s
[02/1000] TrainLoss: 0.001174  ValLoss: 0.000181  Val RMSE: 0.0135  Val NMSE: 0.0065  Val NMSE_dB: -21.872620 dB  TrainTime: 1.20s
[03/1000] TrainLoss: 0.000983  ValLoss: 0.000145  Val RMSE: 0.0120  Val NMSE: 0.0052  Val NMSE_dB: -22.844071 dB  TrainTime: 1.25s
[04/1000] TrainLoss: 0.000903  ValLoss: 0.000130  Val RMSE: 0.0114  Val NMSE: 0.0047  Val NMSE_dB: -23.322098 dB  TrainTime: 1.09s
[05/1000] TrainLoss: 0.000861  ValLoss: 0.000131  Val RMSE: 0.0114  Val NMSE: 0.0047  Val NMSE_dB: -23.291535 dB  TrainTime: 1.14s
[06/1000] TrainLoss: 0.000827  ValLoss: 0.000115  Val RMSE: 0.0107  Val NMSE: 0.0041  Val NMSE_dB: -23.844355 dB  TrainTime: 1.13s
[07/1000] TrainLoss: 0.000805  ValLoss: 0.000123  Val RMSE: 0.0111  Val NMSE: 0.0044  Val NMSE_dB: -23.568835 dB  TrainTime: 1.15s
[08/1000] TrainLoss: 0.000788  ValLoss: 0.000141  Val RMSE: 0.0119  Val NMSE: 0.0051  Val NMSE_dB: -22.953506 dB  TrainTime: 3.72s
[09/1000] TrainLoss: 0.000779  ValLoss: 0.000105  Val RMSE: 0.0102  Val NMSE: 0.0038  Val NMSE_dB: -24.248068 dB  TrainTime: 1.25s
[10/1000] TrainLoss: 0.000767  ValLoss: 0.000133  Val RMSE: 0.0116  Val NMSE: 0.0048  Val NMSE_dB: -23.203946 dB  TrainTime: 1.19s
[11/1000] TrainLoss: 0.000758  ValLoss: 0.000127  Val RMSE: 0.0113  Val NMSE: 0.0046  Val NMSE_dB: -23.401191 dB  TrainTime: 1.13s
[12/1000] TrainLoss: 0.000746  ValLoss: 0.000118  Val RMSE: 0.0108  Val NMSE: 0.0042  Val NMSE_dB: -23.749547 dB  TrainTime: 1.28s
[13/1000] TrainLoss: 0.000740  ValLoss: 0.000121  Val RMSE: 0.0110  Val NMSE: 0.0043  Val NMSE_dB: -23.644415 dB  TrainTime: 1.18s
[14/1000] TrainLoss: 0.000735  ValLoss: 0.000110  Val RMSE: 0.0105  Val NMSE: 0.0039  Val NMSE_dB: -24.048145 dB  TrainTime: 1.21s
[15/1000] TrainLoss: 0.000732  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.109385 dB  TrainTime: 1.17s
[16/1000] TrainLoss: 0.000722  ValLoss: 0.000126  Val RMSE: 0.0112  Val NMSE: 0.0045  Val NMSE_dB: -23.434911 dB  TrainTime: 1.35s
[17/1000] TrainLoss: 0.000724  ValLoss: 0.000133  Val RMSE: 0.0115  Val NMSE: 0.0048  Val NMSE_dB: -23.222558 dB  TrainTime: 1.22s
[18/1000] TrainLoss: 0.000717  ValLoss: 0.000147  Val RMSE: 0.0121  Val NMSE: 0.0053  Val NMSE_dB: -22.791721 dB  TrainTime: 1.13s
[19/1000] TrainLoss: 0.000714  ValLoss: 0.000149  Val RMSE: 0.0122  Val NMSE: 0.0053  Val NMSE_dB: -22.721605 dB  TrainTime: 1.36s
[20/1000] TrainLoss: 0.000715  ValLoss: 0.000114  Val RMSE: 0.0107  Val NMSE: 0.0041  Val NMSE_dB: -23.870256 dB  TrainTime: 1.16s
[21/1000] TrainLoss: 0.000708  ValLoss: 0.000113  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.926158 dB  TrainTime: 1.22s
[22/1000] TrainLoss: 0.000703  ValLoss: 0.000137  Val RMSE: 0.0117  Val NMSE: 0.0049  Val NMSE_dB: -23.093383 dB  TrainTime: 1.17s
[23/1000] TrainLoss: 0.000703  ValLoss: 0.000122  Val RMSE: 0.0110  Val NMSE: 0.0044  Val NMSE_dB: -23.602193 dB  TrainTime: 1.29s
[24/1000] TrainLoss: 0.000696  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.121845 dB  TrainTime: 1.21s
[25/1000] TrainLoss: 0.000693  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.137946 dB  TrainTime: 1.14s
[26/1000] TrainLoss: 0.000692  ValLoss: 0.000141  Val RMSE: 0.0119  Val NMSE: 0.0051  Val NMSE_dB: -22.948813 dB  TrainTime: 1.17s
